Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Joined_by_year,Time to Unicorn,ROI
Bytedance,180000000000,2017-04-07,Artificial intelligence,Beijing,China,Asia,2012,8000000000,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",2017,5,22.5
SpaceX,100000000000,2012-12-01,Other,Hawthorne,United States,North America,2002,7000000000,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",2012,10,14.285714285714286
SHEIN,100000000000,2018-07-03,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,2000000000,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",2018,10,50.0
Stripe,95000000000,2014-01-23,Fintech,San Francisco,United States,North America,2010,2000000000,"Khosla Ventures, LowercaseCapital, capitalG",2014,4,47.5
Klarna,46000000000,2011-12-12,Fintech,Stockholm,Sweden,Europe,2005,4000000000,"Institutional Venture Partners, Sequoia Capital, General Atlantic",2011,6,11.5
Canva,40000000000,2018-01-08,Internet software & services,Surry Hills,Australia,Oceania,2012,572000000,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",2018,6,69.93006993006993
Checkout.com,40000000000,2019-05-02,Fintech,London,United Kingdom,Europe,2012,2000000000,"Tiger Global Management, Insight Partners, DST Global",2019,7,20.0
Instacart,39000000000,2014-12-30,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,3000000000,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",2014,2,13.0
JUUL Labs,38000000000,2017-12-20,Consumer & retail,San Francisco,United States,North America,2015,14000000000,Tiger Global Management,2017,2,2.7142857142857144
Databricks,38000000000,2019-02-05,Data management & analytics,San Francisco,United States,North America,2013,3000000000,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",2019,6,12.666666666666666
Revolut,33000000000,2018-04-26,Fintech,London,United Kingdom,Europe,2015,2000000000,"index Ventures, DST Global, Ribbit Capital",2018,3,16.5
Epic Games,32000000000,2018-10-26,Other,Cary,United States,North America,1991,7000000000,"Tencent Holdings, KKR, Smash Ventures",2018,27,4.571428571428571
FTX,32000000000,2021-07-20,Fintech,Unknown,Bahamas,North America,2018,2000000000,"Sequoia Capital, Thoma Bravo, Softbank",2021,3,16.0
Fanatics,27000000000,2012-06-06,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,4000000000,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",2012,10,6.75
Chime,25000000000,2019-03-05,Fintech,San Francisco,United States,North America,2013,2000000000,"Forerunner Ventures, Crosslink Capital, Homebrew",2019,6,12.5
BYJU's,22000000000,2017-07-25,Edtech,Bengaluru,India,Asia,2008,4000000000,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",2017,9,5.5
J&T Express,20000000000,2021-04-07,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,5000000000,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",2021,6,4.0
Xiaohongshu,20000000000,2016-03-31,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,918000000,"GGV Capital, ZhenFund, Tencent",2016,3,21.78649237472767
Miro,18000000000,2022-01-05,Internet software & services,San Francisco,United States,North America,2011,476000000,"Accel, AltaIR Capital, Technology Crossover Ventures",2022,11,37.81512605042017
Yuanfudao,17000000000,2017-05-31,Edtech,Beijing,China,Asia,2012,4000000000,"Tencent Holdings, Warbug Pincus, IDG Capital",2017,5,4.25
Rapyd,15000000000,2019-12-03,Fintech,London,United Kingdom,Europe,2016,770000000,"Target Global, General Catalyst, Durable Capital Partners",2019,3,19.48051948051948
Discord,15000000000,2018-04-20,Internet software & services,San Francisco,United States,North America,2012,979000000,"Benchmark, Greylock Partners, Tencent Holdings",2018,6,15.321756894790603
Genki Forest,15000000000,2020-03-01,Consumer & retail,Beijing,China,Asia,2016,721000000,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",2020,4,20.804438280166437
goPuff,15000000000,2020-10-08,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,3000000000,"Accel, Softbank Group, Anthos Capital",2020,7,5.0
Blockchain.com,14000000000,2021-02-17,Fintech,London,United Kingdom,Europe,2011,490000000,"Lightspeed Venture Partners, Google Ventures, Lakestar",2021,10,28.571428571428573
Plaid,13000000000,2018-12-11,Fintech,San Francisco,United States,North America,2012,734000000,"New Enterprise Associates, Spar Capital, Index Ventures",2018,6,17.71117166212534
Devoted Health,13000000000,2018-10-16,Health,Waltham,United States,North America,2017,2000000000,"Andreessen Horowitz, F-Prime Capital, Venrock",2018,1,6.5
OpenSea,13000000000,2021-07-20,E-commerce & direct-to-consumer,New York,United States,North America,2017,427000000,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",2021,4,30.44496487119438
Grammarly,13000000000,2019-10-10,Internet software & services,San Francisco,United States,North America,2009,400000000,"General Catalyst, Institutional Venture Partners, Breyer Capital",2019,10,32.5
Argo AI,12000000000,2019-07-12,Artificial intelligence,Pittsburgh,United States,North America,2016,4000000000,"Volkswagen Group, Ford Autonomous Vehicles",2019,3,3.0
Northvolt,12000000000,2019-06-12,Other,Stockholm,Sweden,Europe,2016,4000000000,"Vattenfall, Volkswagen Group, Goldman Sachs",2019,3,3.0
Faire,12000000000,2019-10-30,Artificial intelligence,San Francisco,United States,North America,2017,1000000000,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",2019,2,12.0
Airtable,12000000000,2018-11-15,Internet software & services,San Francisco,United States,North America,2013,1000000000,"Caffeinated Capital, CRV, Founder Collective",2018,5,12.0
Brex,12000000000,2018-10-05,Fintech,San Francisco,United States,North America,2017,1000000000,"DST Global, Ribbit Capital, Greenoaks Capital Management",2018,1,12.0
Getir,12000000000,2021-03-26,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2015,2000000000,"Tiger Global Management, Sequoia Capital, Revo Capital",2021,6,6.0
Biosplice Therapeutics,12000000000,2018-08-06,Health,San Diego,United States,North America,2008,799000000,"Vickers Venture Partners, IKEA GreenTech",2018,10,15.018773466833542
Bitmain,12000000000,2018-07-06,Hardware,Beijing,China,Asia,2015,765000000,"Coatue Management, Sequoia Capital China, IDG Capital",2018,3,15.686274509803921
GoodLeap,12000000000,2021-10-13,Internet software & services,Roseville,United States,North America,2003,800000000,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",2021,18,15.0
Xingsheng Selected,12000000000,2020-07-22,E-commerce & direct-to-consumer,Changsha,China,Asia,2009,5000000000,"KKR, Tencent Holdings, Sequoia Capital China",2020,11,2.4
ZongMu Technology,11000000000,2021-06-03,Auto & transportation,Shanghai,China,Asia,2013,376000000,"LTW Capital, Legend Capital, Qualcomm Ventures",2021,8,29.25531914893617
Bolt,11000000000,2018-05-29,Auto & transportation,Tallinn,Estonia,Europe,2013,1000000000,"Didi Chuxing, Diamler, TMT Investments",2018,5,11.0
Swiggy,11000000000,2018-06-21,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2014,5000000000,"Accel India, SAIF Partners, Norwest Venture Partners",2018,4,2.2
Weilong Foods,11000000000,2021-05-08,Consumer & retail,Luohe,China,Asia,1999,558000000,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital",2021,22,19.71326164874552
Global Switch,11000000000,2016-12-22,Hardware,London,United Kingdom,Europe,1998,5000000000,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",2016,18,2.2
Bolt,11000000000,2021-10-08,Fintech,San Francisco,United States,North America,2014,1000000000,"Activant Capital, Tribe Capital, General Atlantic",2021,7,11.0
Celonis,11000000000,2018-06-26,Data management & analytics,Munich,Germany,Europe,2011,1000000000,"Accel, 83North",2018,7,11.0
Zuoyebang,10000000000,2018-07-18,Edtech,Beijing,China,Asia,2014,3000000000,"Sequoia Capital China, Xiang He Capital, GGV Capital",2018,4,3.3333333333333335
Ripple,10000000000,2019-12-20,Fintech,San Francisco,United States,North America,2012,294000000,"IDG Capital, Venture51, Lightspeed Venture Partners",2019,7,34.01360544217687
OYO Rooms,10000000000,2018-09-25,Travel,Gurugram,India,Asia,2012,3000000000,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",2018,6,3.3333333333333335
OutSystems,10000000000,2018-06-05,Internet software & services,Boston,United States,North America,2001,572000000,"KKR, ES Ventures, North Bridge Growth Equity",2018,17,17.482517482517483
ServiceTitan,10000000000,2018-11-14,Internet software & services,Glendale,United States,North America,2012,1000000000,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",2018,6,10.0
Alchemy,10000000000,2021-10-28,Fintech,San Francisco,United States,North America,2017,564000000,"DFJ Growth Fund, Coatue Management, Addition",2021,4,17.73049645390071
Chehaoduo,10000000000,2016-03-12,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,4000000000,"Sequoia Capital China, GX Capital",2016,1,2.5
Digital Currency Group,10000000000,2021-11-01,Fintech,New York,United States,North America,2015,1000000000,"Ribbit Capital, capitalG, Softbank Group",2021,6,10.0
Figma,10000000000,2020-04-30,Internet software & services,San Francisco,United States,North America,2012,333000000,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",2020,8,30.03003003003003
Gusto,10000000000,2015-12-18,Fintech,San Francisco,United States,North America,2011,691000000,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",2015,4,14.47178002894356
Lalamove,10000000000,2019-02-21,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2013,2000000000,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",2019,6,5.0
Notion Labs,10000000000,2020-04-01,Internet software & services,San Francisco,United States,North America,2016,343000000,"Index Ventures, Draft Ventures, Felicis Ventures",2020,4,29.154518950437318
reddit,10000000000,2017-07-31,Internet software & services,San Francisco,United States,North America,2005,1000000000,"Y Combinator, Sequoia Capital, Coatue Management",2017,12,10.0
Talkdesk,10000000000,2018-10-03,Internet software & services,San Francisco,United States,North America,2011,497000000,"DJF, Salesforce Ventures, Storm Ventures",2018,7,20.120724346076457
Thrasio,10000000000,2020-07-15,Other,Walpole,United States,North America,2018,2000000000,"Upper90, RiverPark Ventures, Advent International",2020,2,5.0
Dunamu,9000000000,2021-07-22,Fintech,Seoul,South Korea,Asia,2012,71000000,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities",2021,9,126.7605633802817
Yanolja,9000000000,2019-06-10,Travel,Seoul,South Korea,Asia,2005,2000000000,"SBI Investment Korea, Partners Investment, GIC",2019,14,4.5
Pony.ai,9000000000,2018-07-11,Artificial intelligence,Fremont,United States,North America,2016,1000000000,"Sequoia Capital China, IDG Capital, DCM Ventures",2018,2,9.0
Nuro,9000000000,2019-02-11,Auto & transportation,Mountain View,United States,North America,2016,2000000000,"SoftBank Group, Greylock Partners, Gaorong Capital",2019,3,4.5
Snyk,9000000000,2020-01-21,Cybersecurity,Boston,United States,North America,2015,1000000000,"BOLDstart Ventures, Google Ventures, Accel",2020,5,9.0
Kavak,9000000000,2020-10-01,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2016,2000000000,"DST Global, SoftBank Group, Mountain Nazca",2020,4,4.5
N26,9000000000,2019-01-10,Fintech,Berlin,Germany,Europe,2013,2000000000,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",2019,6,4.5
Klaviyo,9000000000,2020-11-17,Internet software & services,Boston,United States,North America,2012,679000000,"Summit Partners, Accel, Astral Capital",2020,8,13.25478645066274
Niantic,9000000000,2017-11-24,Mobile & telecommunications,San Francisco,United States,North America,2015,770000000,"Nintendo, Google, Pokemon Company International, Spark Capital",2017,2,11.688311688311689
Tanium,9000000000,2015-03-31,Cybersecurity,Kirkland,United States,North America,2007,775000000,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth",2015,8,11.612903225806452
Dream11,8000000000,2019-04-09,Internet software & services,Mumbai,India,Asia,2007,2000000000,"Kaalari Capital, Tencent Holdings, Steadview Capital",2019,12,4.0
DJI Innovations,8000000000,2015-01-23,Hardware,Shenzhen,China,Asia,2006,105000000,"Accel Partners, Sequoia Capital",2015,9,76.19047619047619
Netskope,8000000000,2018-11-13,Cybersecurity,Santa Clara,United States,North America,2012,1000000000,"Lightspeed Venture Partners, Social Capital, Accel",2018,6,8.0
Razorpay,8000000000,2020-10-11,Fintech,Bengaluru,India,Asia,2013,742000000,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",2020,7,10.78167115902965
Dapper Labs,8000000000,2021-03-30,Fintech,Vancouver,Canada,North America,2018,607000000,"Union Square Ventures, Venrock, Andreessen Horowitz",2021,3,13.179571663920923
Lacework,8000000000,2021-01-07,Cybersecurity,San Jose,United States,North America,2015,2000000000,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",2021,6,4.0
Tipalti,8000000000,2020-10-06,Fintech,San Mateo,United States,North America,2010,549000000,"01 Advisors, Zeev Ventures, Group 11",2020,10,14.571948998178506
Hopin,8000000000,2020-11-10,Internet software & services,London,United Kingdom,Europe,2019,1000000000,"Accel, Northzone Ventures, Institutional Venture Partners",2020,1,8.0
Caris Life Sciences,8000000000,2021-05-12,Health,Irving,United States,North America,1996,1000000000,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",2021,25,8.0
Ramp,8000000000,2021-03-29,Fintech,New York,United States,North America,2019,660000000,"D1 Capital Partners, Stripe, Coatue Management",2021,2,12.121212121212121
Tempus,8000000000,2018-03-21,Health,Chicago,United States,North America,2015,820000000,"New Enterprise Associates, T. Rowe Associates, Lightbank",2018,3,9.75609756097561
Fireblocks,8000000000,2021-07-27,Fintech,New York,United States,North America,2018,1000000000,"Tenaya Capital, Coatue Management, Stripes Group",2021,3,8.0
Flexport,8000000000,2018-04-30,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,2000000000,"Bloomberg Beta, Founders Fund, First Round Capital",2018,5,4.0
National Stock Exchange of India,7000000000,2020-07-01,Fintech,Mumbai,India,Asia,1998,297000000,"TA Associates, SoftBank Group, GS Growth",2020,22,23.569023569023567
Meicai,7000000000,2016-06-22,Mobile & telecommunications,Beijing,China,Asia,2014,1000000000,"Tiger Global Management, Blue Lake Capital, ZhenFund",2016,2,7.0
Impossible Foods,7000000000,2019-05-13,Consumer & retail,Redwood City,United States,North America,2011,2000000000,"Khosla Ventures, Horizons Ventures, Temasek Holdings",2019,8,3.5
CRED,7000000000,2021-04-06,Fintech,Bengaluru,India,Asia,2018,922000000,"Tiger Global Management, DST Global, Sequoia Capital India",2021,3,7.592190889370933
Attentive,7000000000,2020-09-23,Mobile & telecommunications,Hoboken,United States,North America,2016,863000000,"NextView Ventures, Eniac Ventures, Sequoia Capital",2020,4,8.111239860950175
Ola Cabs,7000000000,2014-10-27,Auto & transportation,Bengaluru,India,Asia,2010,4000000000,"Accel Partners, SoftBank Group, Sequoia Capital",2014,4,1.75
Rippling,7000000000,2020-08-04,Internet software & services,San Francisco,United States,North America,2017,447000000,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",2020,3,15.659955257270694
Carta,7000000000,2019-05-06,Fintech,San Francisco,United States,North America,2012,1000000000,"Menlo Ventures, Spark Capital, Union Square Ventures",2019,7,7.0
Toss,7000000000,2018-12-09,Fintech,Seoul,South Korea,Asia,2013,844000000,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers",2018,5,8.293838862559241
Ziroom,7000000000,2018-01-17,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,2000000000,"Sequoia Capital China, Warburg Pincus, General Catalyst",2018,7,3.5
Scale AI,7000000000,2019-08-05,Artificial intelligence,San Francisco,United States,North America,2018,603000000,"Accel, Y Combinator, Index Ventures",2019,1,11.608623548922056
Gong,7000000000,2020-08-12,Artificial intelligence,Palo Alto,United States,North America,2015,583000000,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",2020,5,12.006861063464838
TripActions,7000000000,2018-11-08,Travel,Palo Alto,United States,North America,2015,912000000,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",2018,3,7.675438596491228
1Password,7000000000,2021-07-08,Cybersecurity,Toronto,Canada,North America,2005,920000000,"Slack Fund, Accel, Skip Capital",2021,16,7.608695652173913
Automation Anywhere,7000000000,2018-07-02,Artificial intelligence,San Jose,United States,North America,2003,849000000,"General Atlantic, Goldman Sachs, New Enterprise Associates",2018,15,8.244994110718492
Gemini,7000000000,2021-11-19,Fintech,New York,United States,North America,2015,424000000,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",2021,6,16.50943396226415
ConsenSys,7000000000,2021-11-17,Fintech,New York,United States,North America,2014,660000000,"Third Point, Electric Capital, Coinbase Ventures",2021,7,10.606060606060606
Ro,7000000000,2020-07-27,Health,New York,United States,North America,2017,1000000000,"Initialized Capital, General Catalyst, SignalFire",2020,3,7.0
Black Unicorn Factory,6000000000,2021-05-20,Other,Los Angeles,United States,North America,2020,645000000,Barter Ventures,2021,1,9.30232558139535
Easyhome,6000000000,2018-02-12,Consumer & retail,Beijing,China,Asia,1999,2000000000,"Alibaba Group, Boyu Capital, Borui Capital",2018,19,3.0
WeDoctor,6000000000,2015-09-22,Health,Hangzhou,China,Asia,2010,1000000000,"Tencent, Morningside Group",2015,5,6.0
SVOLT,6000000000,2020-06-08,Auto & transportation,Changzhou,China,Asia,2018,3000000000,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",2020,2,2.0
Airwallex,6000000000,2019-03-25,Fintech,Melbourne,Australia,Oceania,2015,802000000,"DST Global, Sequoia Capital China, Tencent Holdings",2019,4,7.4812967581047385
Deel,6000000000,2021-04-21,Fintech,San Francisco,United States,North America,2018,629000000,"Andreessen Horowitz, Spark Capital, Y Combinator",2021,3,9.538950715421304
Mambu,6000000000,2021-01-06,Fintech,Amsterdam,Netherlands,Europe,2011,448000000,"Runa Capital, Acton Capital Partners, Point Nine Capital",2021,10,13.392857142857142
Mollie,6000000000,2020-09-08,Fintech,Amsterdam,Netherlands,Europe,2004,928000000,Technology Crossover Ventures,2020,16,6.4655172413793105
Doctolib,6000000000,2019-03-19,Health,Paris,France,Europe,2013,815000000,"BPI France, Kerala Ventures, Accel",2019,6,7.361963190184049
FiveTran,6000000000,2020-06-30,Data management & analytics,Oakland,United States,North America,2012,728000000,"Matrix Partners, Andreessen Horowitz, General Catalyst",2020,8,8.241758241758241
Postman,6000000000,2020-06-11,Internet software & services,San Francisco,United States,North America,2014,433000000,"Nexus Venture Partners, CRV, Insight Partners",2020,6,13.856812933025404
Back Market,6000000000,2021-05-18,E-commerce & direct-to-consumer,Paris,France,Europe,2014,1000000000,"Aglae Ventures, Eurazeo, Daphni",2021,7,6.0
Cityblock Health,6000000000,2020-12-10,Health,Brooklyn,United States,North America,2017,891000000,"Thrive Capital, Maverick Ventures, Redpoint Ventures",2020,3,6.734006734006734
DataRobot,6000000000,2019-07-29,Artificial intelligence,Boston,United States,North America,2012,1000000000,"New Enterprise Associates, Accomplice, IA Ventures",2019,7,6.0
Personio,6000000000,2021-01-19,Internet software & services,Munich,Germany,Europe,2015,524000000,"Global Founders Capital, Nortzone Ventures, Picus Capital",2021,6,11.450381679389313
RELEX Solutions,6000000000,2022-02-17,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,2005,803000000,"Blackstone, Technology Crossover Ventures, Summit Partners",2022,17,7.4719800747198
Vice Media,6000000000,2011-04-02,Internet software & services,Brooklyn,United States,North America,1994,1000000000,"Technology Crossover Ventures, A&E Television Networks",2011,17,6.0
Workato,6000000000,2021-01-12,Internet software & services,Mountain View,United States,North America,2013,415000000,"Battery Ventures, Storm Ventures, Redpoint Ventures",2021,8,14.457831325301205
Upgrade,6000000000,2018-02-12,Fintech,San Francisco,United States,North America,2016,587000000,"Union Square Ventures, Ribbit Capital, VY Capital",2018,2,10.221465076660989
Lianjia,6000000000,2016-04-07,E-commerce & direct-to-consumer,Beijing,China,Asia,2001,1000000000,"Tencent, Baidu, Huasheng Capital",2016,15,6.0
Hinge Health,6000000000,2021-01-06,Health,San Francisco,United States,North America,2015,826000000,"Atomico, Insight Partners, Coatue Management",2021,6,7.263922518159807
Lyra Health,6000000000,2020-08-25,Health,Burlingame,United States,North America,2015,910000000,"Greylock Partners, Venrock, Providence Ventures",2020,5,6.593406593406593
Benchling,6000000000,2021-04-14,Internet software & services,San Francisco,United States,North America,2012,412000000,"Thrive Capital, Benchmark, MenloVentures",2021,9,14.563106796116505
Better.com,6000000000,2020-11-10,Fintech,New York,United States,North America,2018,405000000,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers",2020,2,14.814814814814815
iCapital Network,6000000000,2021-07-27,Fintech,New York,United States,North America,2013,729000000,"BlackRock, Blackstone, UBS",2021,8,8.23045267489712
Wiz,6000000000,2021-03-17,Cybersecurity,Tel Aviv,Israel,Asia,2020,600000000,"Insight Partners, Sequoia Capital, Index Ventures",2021,1,10.0
DailyHunt,5000000000,2020-12-22,Internet software & services,Bengaluru,India,Asia,2007,869000000,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India",2020,13,5.7537399309551205
Howden Group Holdings,5000000000,2020-09-29,Other,London,United Kingdom,Europe,1994,187000000,"General Atlantic, 3i Group, Huagai Capital",2020,26,26.737967914438503
Meesho,5000000000,2021-04-05,Internet software & services,Bengaluru,India,Asia,2015,1000000000,"Venture Highway, Sequoia Capital India, Prosus Ventures",2021,6,5.0
Meizu Technology,5000000000,2014-07-23,Hardware,Zhuhai,China,Asia,2003,943000000,"Telling Telecommunication Holding Co., Alibaba Group",2014,11,5.302226935312832
CloudWalk Technology,5000000000,2018-10-08,Artificial intelligence,Guangzhou,China,Asia,2015,514000000,"Oriza Holdings, Guangdong Technology Financial Group",2018,3,9.727626459143968
Royole Corporation,5000000000,2015-08-18,Hardware,Shenzhen,China,Asia,2012,492000000,"Warmsun Holding, IDG Capital Partners",2015,3,10.16260162601626
Monzo,5000000000,2018-10-31,Fintech,London,United Kingdom,Europe,2015,1000000000,"Passion Capital, Thrive Capital, Orange Digital Ventures",2018,3,5.0
